,car_name,s_driven,fuel_type,city,year_of_manufacture,car_price_in_rupees,car_name2
698,Maruti Suzuki Ciaz Sigma 1.4 MT,46023,1,8,2018,7.45,554
699,Hyundai Verna 1.6 VTVT SX,47000,1,0,2017,6.75,317
700,Hyundai Elite i20 Asta 1.2 (O) [2016],18352,1,4,2017,6.83,241
701,Honda Amaze 1.2 VX i-VTEC,70000,1,13,2015,4.6,141
702,MG Astor Savvy 1.5 CVT S Red,12000,1,4,2021,14.75,427
703,Maruti Suzuki Vitara Brezza VDi,36422,0,8,2019,8.75,630
704,Honda City 1.5 V MT Sunroof,86593,1,2,2012,5.65,158
705,Hyundai Eon Era +,34000,1,13,2013,2.5,263
706,Ford EcoSport Titanium 1.5L Ti-VCT AT,48504,1,8,2016,6.85,109
707,Maruti Suzuki Swift LXi,12463,1,3,2020,5.64,616
708,Maruti Suzuki Alto 800 Lxi,54923,1,12,2017,2.99,495
709,Honda Brio S MT,52000,1,13,2013,3.05,151
710,Mahindra XUV500 W10 AT,53075,0,2,2017,14.99,480
711,BMW X1 sDrive20d Expedition,21000,0,8,2017,21.75,64
712,Maruti Suzuki Wagon R 1.0 LXI,18705,1,4,2017,3.91,639
713,Maruti Suzuki Swift Dzire ZDI AMT,69000,0,0,2017,6.9,615
714,Maruti Suzuki Dzire ZDi Plus,71250,0,6,2017,7.7,571
715,Hyundai Creta Facelift 1.4 Turbo Petrol DCT,18583,1,13,2022,19.2,220
716,Maruti Suzuki Vitara Brezza ZDi Plus,117859,0,6,2017,9.5,634
717,Hyundai Elite i20 Magna 1.2,67000,1,6,2015,5.75,250
718,Maruti Suzuki Baleno Zeta 1.2,57052,1,7,2016,4.83,520
719,Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],75000,0,0,2018,19.75,890
720,Hyundai Elantra SX (O) 2.0 AT,71395,1,8,2016,10.9,237
721,Maruti Suzuki Alto K10 VXi AMT [2014-2018],24550,1,12,2016,3.89,506
722,Volkswagen Ameo Comfortline 1.0L (P),28000,1,0,2019,5.9,903
723,Maruti Suzuki Dzire ZXi,8087,1,7,2019,6.34,572
724,Volkswagen Vento Highline Petrol,88000,1,8,2014,4.45,932
725,Tata Nexon XMA Petrol,26438,1,13,2019,7.45,816
726,Honda City V CVT Petrol [2017-2019],71420,1,3,2018,9.96,169
727,Maruti Suzuki Vitara Brezza ZXi Plus AT SHVS,21052,1,12,2020,11.17,638
728,Audi Q7 4.2 TDI quattro,170000,0,2,2014,32,39
729,Honda City V CVT Petrol [2017-2019],43417,1,8,2017,8.85,169
730,Maruti Suzuki Swift DZire VXI,75100,1,4,2012,3.25,610
731,Toyota Camry Hybrid [2015-2017],700,1,12,2022,48.5,853
732,Honda Brio S MT,21996,1,0,2016,4.5,151
733,Tata Harrier XZA Plus Dual Tone,30229,0,8,2021,22.51,804
734,Maruti Suzuki Alto 800 Lxi,37796,1,12,2016,2.99,495
735,MG Hector Sharp 1.5 Petrol Turbo Hybrid MT,32000,Hybrid,10,2022,18.66,437
736,Maruti Suzuki Dzire ZXi Plus AMT,40904,1,6,2020,8.8,575
737,Hyundai Grand i10 Magna 1.1 CRDi [2016-2017],43000,0,13,2015,4.15,273
738,Maruti Suzuki Wagon R 1.0 LXi CNG,80173,3,8,2012,2.95,644
739,Maruti Suzuki Alto 800 Vxi,18512,1,2,2018,3.79,498
740,Honda City V,73000,1,0,2016,6.25,168
741,Maruti Suzuki Celerio VXi CNG,1064,3,12,2022,6.89,530
742,Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],37000,Petrol ,14,2017,4.1,267
743,Hyundai Santro Sportz [2018-2020],60600,1,3,2019,4.86,296
744,Hyundai Elite i20 Sportz 1.2 [2016-2017],21344,1,8,2016,4.95,256
745,Hyundai Creta SX 1.6 AT CRDi,82899,0,8,2018,12.85,226
746,Maruti Suzuki Celerio X Zxi (O) AMT [2017-2019],29192,1,7,2018,4.5,535
747,Maruti Suzuki Celerio VXi,11363,1,7,2015,3.64,524
748,Maruti Suzuki Wagon R 1.0 LXi CNG,77050,3,0,2011,2.5,644
749,Tata Tiago Revotron XZA,24051,1,13,2018,5.25,843
750,Mahindra XUV500 W10,75811,0,2,2016,13.75,479
751,Tata Tiago Revotron XZ,45412,1,8,2017,4.65,841
752,Toyota Innova Crysta 2.8 GX AT 7 STR [2016-2020],115000,0,4,2018,15.8,888
753,Maruti Suzuki Swift VDi,90251,0,6,2018,7.3,618
754,Maruti Suzuki Wagon R 1.0 VXI,28518,1,7,2016,3.59,646
755,Datsun GO T [2018-2019],33766,1,6,2018,3.61,84
756,Ford Fiesta Exi 1.6 Duratec Ltd,114000,Petrol ,10,2009,1.75,119
757,Volvo S90 D4 Inscription,30000,0,4,2020,47.5,940
758,Maruti Suzuki Swift DZire VXI,12902,1,7,2014,4.28,610
759,Maruti Suzuki Vitara Brezza ZDi,62769,0,8,2018,8.45,633
760,Hyundai Grand i10 Sports Edition 1.1 CRDi,52242,0,7,2015,3.49,282
761,Honda Jazz ZX CVT,9838,1,12,2021,10.24,198
762,Renault Kwid Neotech RXL,12000,1,8,2021,4.75,749
763,Honda BR-V V CVT Petrol,76275,1,8,2016,7.75,147
764,Honda City V Petrol [2017-2019],29500,1,13,2017,7.65,171
765,Tata Safari XZA Plus,22617,0,2,2021,23.95,832
766,Renault Triber RXZ,25000,1,14,2020,6.7,756
767,Maruti Suzuki Wagon R 1.0 VXI,13889,1,12,2017,4.64,646
768,BMW 7 Series 730Ld,22000,0,0,2017,69.75,59
769,Nissan Sunny XL D,29208,0,0,2017,5.75,714
770,Volkswagen Vento Trendline Petrol,62000,1,13,2011,3.15,937
771,Land Rover Range Rover Evoque HSE Dynamic,22000,0,2,2018,53,419
772,Hyundai Eon Era +,26700,1,0,2017,3.5,263
773,Honda Jazz V Petrol,41217,1,8,2016,5.3,193
774,Hyundai Creta SX Plus 1.6  Petrol,56747,1,13,2015,7.5,231
775,Maruti Suzuki Wagon R LXi 1.0 CNG,51765,3,4,2020,5.53,652
776,Honda Amaze 1.2 VX AT i-VTEC,54000,1,8,2014,4.65,139
777,Tata Harrier XZA Plus Dark Edition,9535,0,0,2021,22.5,803
778,Hyundai Santro Sportz [2018-2020],25000,1,0,2019,4.85,296
779,Maruti Suzuki Wagon R 1.0 LXI CNG,47000,3,13,2015,4,641
780,Honda City VX CVT,46399,1,8,2015,7.5,173
781,Maruti Suzuki Alto K10 LXi CNG,47377,3,4,2019,3.7,501
782,Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,44300,1,2,2019,6.69,279
783,Toyota Innova Crysta 2.4 ZX 7 STR [2016-2020],144286,0,6,2017,19.75,887
784,Hyundai i10 Asta 1.2 AT with Sunroof,46721,1,13,2013,3.25,339
785,Hyundai Elite i20 Asta 1.2,21303,1,2,2018,7.99,239
786,Maruti Suzuki Ritz Vdi BS-IV,80000,0,13,2014,4.1,596
787,Audi Q3 2.0 TDI quattro Premium Plus,73000,0,4,2015,15.79,27
788,Chevrolet Beat LS Diesel,84656,Diesel ,1,2011,1.5,75
789,Hyundai Elite i20 Asta 1.2,18523,1,8,2015,5.65,239
790,Honda Amaze 1.5 S i-DTEC,76018,0,6,2015,5.6,143
791,Nissan Sunny XL CVT AT,73056,1,2,2013,4.95,713
792,Hyundai Venue SX 1.4 (O) CRDi,23221,0,13,2021,13,310
793,Honda Brio V MT,71000,1,9,2011,2.85,152
794,Hyundai Elite i20 Sportz 1.2 [2016-2017],13825,1,12,2019,7.23,256
795,Tata Zest XM 75 PS Diesel,101785,0,3,2015,5.5,851
796,Maruti Suzuki Wagon R 1.0 LXI CNG,24000,3,13,2015,4.1,641
797,Maruti Suzuki Celerio VXi (O) CNG [2019-2020],77813,3,12,2019,5.58,526
798,Maruti Suzuki Baleno Delta 1.2,41617,1,4,2019,6.18,512
799,BMW 3 Series 320d Luxury Line,41000,0,7,2013,12,45
800,Maruti Suzuki Wagon R 1.0 VXI,55847,1,12,2015,3.78,646
801,Renault Duster RXZ 1.3 Turbo Petrol CVT [2020-2021],16600,1,3,2020,11.9,737
802,Honda Jazz V Petrol,57340,1,0,2019,5.99,193
803,Hyundai i20 Active 1.2 SX,45173,1,8,2015,5.9,348
804,Honda City VX CVT Petrol,58019,1,2,2017,9.99,174
805,Hyundai Elite i20 Asta 1.2,18523,1,8,2015,5.65,239
806,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],53150,1,13,2015,4.99,270
807,Tata Nexon XZA Plus,44999,1,2,2020,10.99,824
808,Hyundai Santro Sportz,12996,1,2,2021,5.4,292
809,Tata Nexon XZ Plus Dual Tone,50043,1,12,2018,9.13,823
810,Maruti Suzuki Ciaz S 1.4 MT,21880,1,4,2018,6.86,553
811,Volkswagen Polo Highline1.2L (D),36486,0,6,2014,5.5,916
812,Toyota Yaris J CVT [2018-2020],18535,1,12,2019,8.47,899
813,Maruti Suzuki Swift VXi AMT [2018-2019],37090,1,0,2018,6.75,623
814,Honda Jazz S MT [2015-2016],26361,1,6,2018,6.5,188
815,Honda City ZX CVT Petrol [2017-2019],72973,1,7,2017,8.11,178
816,Toyota Etios VX,121790,1,8,2014,4.11,868
817,Renault Kwid 1.0 RXT [2016-2019],140000,1,14,2018,2.7,744
818,Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],39200,1,12,2017,5.25,288
819,Hyundai Grand i10 Sports Edition 1.1 CRDi,61391,0,6,2017,5.5,282
820,Maruti Suzuki S-Cross Zeta 1.3,87544,0,6,2018,9.5,603
821,Honda Brio S MT,32000,1,13,2014,3.45,151
822,Maruti Suzuki Baleno Delta 1.2,66000,1,9,2017,5.65,512
823,Nissan Magnite XV Premium Dual Tone,13264,1,13,2021,8.4,706
824,Skoda Rapid Style 1.6 MPI AT,31469,1,8,2018,8.75,782
825,Volkswagen Cross Polo 1.2 MPI,71976,1,6,2017,6.5,908
826,Honda City S,59800,1,0,2016,5.75,162
827,Honda Amaze VX CVT 1.2 Petrol,5768,1,12,2020,9.22,145
828,Maruti Suzuki Swift ZXi,55209,1,12,2015,5.31,627
829,Mercedes-Benz CLA 200 CDI Sport,59500,0,0,2016,24.26,673
830,Hyundai i10 Magna 1.1 iRDE2 [2010-2017],45000,Petrol ,11,2016,4,342
831,Nissan Terrano XL (D),63839,0,2,2016,7.69,715
832,Jaguar XE Prestige,32434,1,2,2017,29.75,366
833,Maruti Suzuki Wagon R 1.0 VXI,55264,Petrol ,13,2016,3.75,646
834,Hyundai Elite i20 Asta 1.2 (O) [2016],12906,1,7,2017,5.45,241
835,Maruti Suzuki Swift VXi AMT,18236,1,13,2021,7.65,622
836,Maruti Suzuki S-Cross Zeta,6200,1,0,2022,10.5,602
837,Honda City SV,80122,1,9,2014,5.75,164
838,Honda Jazz S Diesel [2015-2016],46220,0,7,2016,4.5,187
839,Ford EcoSport Titanium 1.5L TDCi,63767,0,2,2016,7.99,107
840,Audi A6 2.0 TDI Premium,69000,0,4,2013,12.13,18
841,Maruti Suzuki Swift VDi,81007,0,6,2018,6.85,618
842,Audi Q5 3.0 TDI quattro Premium Plus,78457,0,6,2015,28,37
843,Maruti Suzuki Vitara Brezza VXi,41098,1,2,2020,9.49,632
844,Maruti Suzuki Celerio VXi,50809,1,12,2016,3.96,524
845,Maruti Suzuki Vitara Brezza ZDi+ Dual Tone [2017-2018],59568,0,6,2019,9.54,636
846,Skoda Laura Ambition 2.0 TDI CR AT,140037,0,8,2013,4.25,763
847,Honda WR-V VX MT Diesel,63036,0,7,2017,6.45,201
848,Maruti Suzuki Alto 800 LXi (O) CNG,18362,3,4,2021,4.51,492
849,Hyundai Elantra 1.6 SX AT,85520,0,12,2015,9.31,234
850,Honda Amaze 1.2 VX i-VTEC,46000,1,8,2016,5,141
851,Land Rover Discovery Sport SE,38000,0,13,2018,49.5,414
852,Maruti Suzuki S-Cross Zeta,12712,1,6,2021,10.95,602
853,Maruti Suzuki Ciaz Alpha 1.4 MT,35731,1,2,2017,7.69,544
854,Ford EcoSport Titanium 1.5L Ti-VCT,39000,1,7,2017,5.85,108
855,Honda Jazz V AT Petrol,32000,1,7,2015,4.75,191
856,Honda City ZX EXi,119000,Petrol ,1,2007,2.95,179
857,Maruti Suzuki Swift ZXi,80457,1,6,2018,6.52,627
858,Hyundai Elite i20 Asta 1.4 CRDi,91234,0,7,2018,6.21,248
859,Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],49422,1,12,2016,6.15,267
860,Maruti Suzuki Wagon R 1.0 VXI AMT,33053,1,12,2017,4.75,648
861,Hyundai Aura SX 1.2 (O) Petrol,17385,1,12,2020,7.3,205
862,Mercedes-Benz AMG GLA35 4MATIC,1600,1,8,2021,61,663
863,Maruti Suzuki Dzire ZXi Plus,10158,1,12,2022,9.74,574
864,Hyundai Creta SX Plus 1.6 AT CRDI,56907,0,7,2018,10.23,232
865,Hyundai Elite i20 Asta 1.2 (O) [2019-2020],18000,Petrol ,14,2019,8,242
866,Kia Seltos GTX 1.4,12498,1,2,2020,16.82,389
867,Honda Brio S MT,42265,1,2,2013,4.19,151
868,Maruti Suzuki Celerio VXi CNG [2017-2019],81329,3,4,2018,4.87,532
869,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],53300,1,12,2016,4.5,276
870,Nissan Magnite XV Premium Dual Tone,20000,Petrol ,10,2021,8.3,706
871,Renault Duster 110 PS RXS 4X2 AMT Diesel,59839,0,2,2018,10.29,724
872,Toyota Fortuner 2.8 4x2 AT [2016-2020],177734,0,6,2018,32,869
873,Honda Brio S MT,55200,1,4,2014,2.82,151
874,Maruti Suzuki S-Presso VXi,31651,1,7,2020,4.52,605
875,Hyundai Verna 1.6 VTVT SX,25921,1,4,2018,9.1,317
876,Tata Nexon XZ Plus (O),700,1,3,2022,11.5,820
877,Maruti Suzuki Swift VXi AMT,28151,1,4,2019,7.04,622
878,Honda Brio V MT,39276,1,8,2014,3.51,152
879,Audi A6 2.0 TDI Premium,75000,0,0,2014,16.5,18
880,Honda Amaze 1.2 VX MT Petrol [2018-2020],25075,1,8,2018,6.85,140
881,Kia Seltos HTX 1.5 [2020-2021],10678,1,4,2020,13.53,401
882,Ford EcoSport Titanium 1.5L Ti-VCT AT,31250,1,8,2015,5.75,109
883,Maruti Suzuki Alto 800 LXi (O) CNG,18362,3,4,2021,4.51,492
884,Maruti Suzuki Swift VXi,38500,1,13,2010,2.65,620
885,Maruti Suzuki Wagon R 1.0 VXI AMT,25299,1,8,2015,4,648
886,Mercedes-Benz C-Class 250 CDI Avantagarde,99941,0,0,2012,9.5,667
887,BMW 7 Series 730Ld Sedan,35000,0,0,2009,12.5,60
888,Maruti Suzuki Alto K10 VXi AMT [2014-2018],48448,1,4,2017,3.38,506
889,Maruti Suzuki Ciaz Delta 1.4 MT,33823,1,4,2017,6.87,550
890,Maruti Suzuki Swift VXi [2014-2017],21388,1,7,2019,5.71,624
891,Mahindra TUV300 T8 AMT mHAWK100,35239,0,8,2015,6.45,467
892,Volkswagen Polo GT TSI,11106,1,7,2021,8.25,914
893,Kia Seltos HTX IVT 1.5 [2019-2020],28133,1,7,2020,12.75,402
894,Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],23097,1,12,2021,10.76,545
895,Maruti Suzuki Wagon R 1.0 VXI,57348,1,12,2016,3.76,646
896,Mercedes-Benz CLA 200 D Urban Sport,37329,0,2,2018,29.75,674
897,Ford EcoSport Titanium 1.5L Ti-VCT,15443,1,4,2017,7.19,108
898,Hyundai Eon Era +,43000,1,9,2018,3.4,263
899,Hyundai Creta SX Plus 1.6  Petrol,39240,1,13,2017,9.25,231
900,Hyundai Santro Sportz CNG [2018-2020],43784,3,8,2019,5.45,295
901,Maruti Suzuki Vitara Brezza ZDi,87803,0,6,2018,9.25,633
902,Hyundai i20 Active 1.2 SX,45000,1,13,2015,6.45,348
903,Toyota Etios VX,35311,1,4,2011,3.09,868
904,Mahindra Alturas G4 4WD AT [2018-2020],42347,0,7,2018,18.99,447
905,Maruti Suzuki Swift ZXi AMT [2018-2019],68183,1,2,2018,7,628
906,Mercedes-Benz GLA 200 d Sport,41679,0,6,2018,33,689
907,Hyundai Verna Fluidic 1.6 VTVT SX Opt AT,77394,1,13,2013,4.6,324
908,Honda Jazz VX CVT Petrol,30610,1,0,2019,6.99,194
909,Toyota Urban Cruiser High Grade AT,6257,1,13,2021,11.4,895
910,Honda Amaze 1.2 VX MT Petrol [2018-2020],7702,1,12,2022,8.57,140
911,Hyundai Creta SX 1.6 CRDI (O),75799,0,3,2017,10.72,228
912,Datsun GO T (O),47000,1,0,2018,2.5,83
913,Maruti Suzuki Ertiga Vxi CNG,52000,3,13,2013,6.5,584
914,Toyota Innova 2.5 GX BS IV 7 STR,40372,0,4,2018,20.31,886
915,Audi A8 L 3.0 TDI quattro,45500,0,0,2013,27.51,23
916,Ford EcoSport Titanium 1.5 Ti-VCT AT,43624,1,8,2019,9.45,106
917,Maruti Suzuki Swift VXi [2014-2017],18548,1,13,2018,5.95,624
918,Ford Freestyle Trend Plus 1.2 Ti-VCT [2019-2020],63000,1,11,2019,6.1,127
919,Maruti Suzuki Vitara Brezza ZDi Plus,51439,0,8,2017,8.85,634
920,BMW X1 sDrive20d xLine,56307,0,2,2018,32.75,66
921,Maruti Suzuki Dzire VXi,30481,1,12,2018,6.41,568
922,Hyundai Elite i20 Asta 1.2,34058,1,2,2018,7.89,239
923,Honda Amaze 1.2 SX i-VTEC,48285,1,2,2015,5.19,136
924,Ford EcoSport Titanium 1.5L TDCi,60126,0,0,2017,7.9,107
925,BMW 5 Series 520d Luxury Line [2017-2019],61000,0,0,2019,38,53
926,Maruti Suzuki Celerio VXi CNG [2017-2019],88603,3,12,2017,4.89,532
927,Maruti Suzuki Alto 800 Lxi,45643,1,7,2013,2.09,495
928,Tata Altroz XZ (O) Diesel,10412,0,3,2021,9.78,793
929,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],32335,1,2,2019,5.7,275
930,Mercedes-Benz S-Class 350 L,133000,1,0,2011,14.56,701
931,Hyundai Elantra 1.6 SX AT,80000,0,4,2014,6.25,234
932,Honda Jazz SV Petrol,39173,1,2,2015,5.99,190
933,Hyundai i20 Sportz 1.4 CRDI,91127,0,6,2013,4.5,361
934,Hyundai Verna SX Plus 1.6 CRDi AT,29373,0,12,2019,13.25,328
935,Kia Sonet HTX 1.0 iMT [2020-2021],23700,1,3,2020,10.5,408
936,Honda City 1.5 S MT,62550,1,13,2013,3.99,156
937,Hyundai Elite i20 Sportz 1.4,66000,0,8,2015,5.71,257
938,Maruti Suzuki Wagon R 1.0 LXI CNG,89000,3,13,2014,3.49,641
939,Hyundai Eon 1.0 Kappa Magna + [2014-2016],45100,1,6,2016,2.95,259
940,Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,53734,1,12,2016,4.61,283
941,Hyundai i20 Active 1.2 SX,74655,1,3,2016,6.9,348
942,Toyota Innova 2.5 G2,340000,0,10,2009,6.5,884
943,Toyota Corolla Altis G Petrol,54517,1,0,2019,11.9,858
944,Maruti Suzuki Alto 800 Lxi,35000,1,0,2019,3.35,495
945,Maruti Suzuki Ciaz ZXi  AT,36937,1,8,2016,6.4,561
946,Mercedes-Benz E-Class 280,40206,1,7,2007,4.5,677
947,Hyundai Creta SX Plus 1.6  Petrol,48488,1,13,2016,8.8,231
948,Volkswagen Tiguan Highline TDI,72533,0,12,2017,23.76,923
949,Mercedes-Benz R-Class R350 4MATIC,44724,1,2,2012,24.85,698
950,Honda Amaze 1.5 E i-DTEC,43000,0,7,2017,4.75,142
951,Hyundai Xcent SX 1.2,94691,1,12,2015,4.86,334
952,Hyundai Verna Fluidic 1.6 VTVT SX,71550,1,2,2013,4.99,322
953,Nissan Terrano XL D Plus,77000,0,0,2014,6.25,717
954,Ford EcoSport Titanium 1.5 TDCi,95240,0,6,2015,6.3,104
955,Honda City SV CVT,46200,1,8,2014,5.95,165
956,Maruti Suzuki Vitara Brezza VDi,58481,0,12,2018,7.79,630
957,Honda Jazz VX CVT Petrol,8652,1,4,2019,8.11,194
958,Maruti Suzuki Alto 800 LXi (O),30680,1,6,2017,3.5,491
959,Maruti Suzuki Swift LXi,34933,1,7,2018,4.5,616
960,Hyundai Elite i20 Asta 1.2,42825,1,2,2018,7.79,239
961,Hyundai Creta 1.6 S Petrol,39813,1,7,2018,7.91,208
962,Volkswagen Vento Highline Petrol AT,50667,1,8,2011,3.45,933
963,Maruti Suzuki Vitara Brezza VXi,29219,1,12,2020,8.62,632
964,Mercedes-Benz E-Class E350 CDI Avantgarde,63906,0,8,2012,11.95,683
965,Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],35531,0,8,2019,24.5,890
966,Hyundai Santro Sportz CNG [2018-2020],23404,3,8,2019,5.45,295
967,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],22407,1,8,2017,4.65,276
968,Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],22498,1,7,2018,5.11,268
969,Maruti Suzuki Wagon R 1.0 LXi CNG Avance LE,68000,3,13,2015,3.95,645
970,Mahindra Marazzo M6 8 STR,70163,0,6,2018,10.45,458
971,Datsun redi-GO Gold Limited Edition,48261,1,8,2017,2.85,86
972,Honda City V,42700,1,0,2019,9.9,168
973,Renault Kwid 1.0 RXT AMT Opt,32000,1,8,2020,5.45,740
974,Ford EcoSport Titanium 1.5L Ti-VCT,46900,1,2,2018,7.59,108
975,Maruti Suzuki Alto 800 Lxi,20315,1,7,2018,3.21,495
976,Jeep Compass Limited (O) 2.0 Diesel [2017-2020],66500,0,1,2018,18,372
977,Maruti Suzuki Vitara Brezza ZDi,40579,0,4,2018,7.45,633
978,Honda City 1.5 V MT,72474,1,0,2010,3.9,157
979,Tata Nexon XZ Plus (S),1419,1,7,2022,11.5,821
980,Maruti Suzuki Alto 800 Lxi,29799,1,0,2016,3.2,495
981,Maruti Suzuki Ciaz ZXi,73402,1,12,2017,6.75,560
982,Maruti Suzuki Alto 800 Lxi,70661,1,12,2015,2.69,495
983,Mahindra XUV500 W10,148803,0,6,2015,11.5,479
984,Kia Sonet HTE 1.2 [2020-2021],7500,1,0,2021,7.9,406
985,Maruti Suzuki Ertiga VXI,53056,1,7,2017,6.44,579
986,Maruti Suzuki Eeco 5 STR WITH A/C+HTR CNG [2017-2019],69817,3,12,2020,5.55,576
987,Audi A6 35 TDI Premium,38894,0,6,2013,18,21
988,Maruti Suzuki Alto K10 VXi,15685,1,12,2012,2.34,502
989,Jeep Compass Sport 1.4 Petrol,18000,1,6,2018,15.3,382
990,Maruti Suzuki Wagon R 1.0 VXi,76617,1,7,2013,2.68,651
991,Skoda Kodiaq Style 2.0 TDI 4x4 AT,32407,0,2,2018,33.25,760
992,Land Rover Discovery Sport SE,38000,0,13,2018,49.5,414
993,Maruti Suzuki Swift ZXi,21852,1,4,2018,6.48,627
994,Mahindra KUV100 K4 Plus 6 STR,41000,1,9,2017,3.95,452
995,Kia Sonet GTX Plus 1.0 iMT [2020-2021],4000,1,0,2022,12.75,404
996,Hyundai Elite i20 Sportz 1.2,31776,1,13,2018,6.75,254
997,Maruti Suzuki Swift DZire VXI,76725,1,7,2014,3.85,610
998,Maruti Suzuki Dzire VXi,25144,1,7,2018,5.44,568
999,Renault Duster 110 PS RXZ 4X2 MT Diesel,63673,0,2,2018,10.25,726
1000,Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],40558,1,3,2017,5.34,284
1001,Hyundai Creta 1.6 SX Plus AT,74469,0,2,2015,11.25,213
1002,Toyota Yaris G CVT [2018-2020],67067,1,8,2018,7.55,897
1003,Volkswagen Vento Highline Petrol,77000,1,9,2011,3.25,932
1004,Tata Nexon XZ Plus Dual Tone,50043,1,12,2018,9.13,823
1005,Hyundai Eon Era [2011-2012],81000,1,0,2011,2.2,264
1006,Tata Harrier XT Plus,30830,0,13,2020,18.95,797
1007,Maruti Suzuki Swift VDi ABS [2014-2017],83647,0,12,2016,5.67,619
1008,Tata Tiago Revotron XZ,33640,1,2,2018,5.69,841
1009,Volkswagen Vento Comfortline Petrol AT,60240,1,2,2015,7.65,926
1010,Ford EcoSport Titanium 1.5 TDCi,62225,0,8,2014,5.11,104
1011,Audi A4 2.0 TDI Sline,48000,0,0,2015,16.9,11
1012,Honda BR-V V CVT Petrol,61280,1,8,2016,7.95,147
1013,Maruti Suzuki Ertiga VDi,92064,0,6,2014,6.7,578
1014,Tata Altroz XZ Petrol,9291,1,12,2020,7.89,794
1015,Maruti Suzuki Baleno Delta 1.3,65000,0,10,2018,6.25,514
1016,Jeep Compass Limited (O) 1.4 Petrol AT [2017-2020],28449,1,8,2019,18.25,370
1017,Toyota Yaris V CVT,41079,1,12,2019,9.9,901
1018,Renault Kwid CLIMBER 1.0 AMT [2017-2019],10690,1,8,2020,5.55,747
1019,Hyundai Creta 1.6 SX Plus Petrol,36313,1,8,2019,11.75,215
1020,Honda City SV CVT,75258,1,8,2015,5.9,165
1021,Maruti Suzuki Swift ZXi AMT [2018-2019],21523,1,6,2018,7.5,628
1022,Hyundai Eon 1.0 Kappa Magna + [2014-2016],40000,1,13,2016,3.1,259
1023,Maruti Suzuki Wagon R 1.0 LXI CNG,57300,3,0,2018,4.9,641
1024,BMW 7 Series 730Ld Sedan,77000,0,0,2010,19.56,60
1025,Maruti Suzuki Vitara Brezza ZDi+ Dual Tone [2017-2018],20744,0,4,2019,10.12,636
1026,Audi A3 35 TDI Technology + Sunroof,40910,0,2,2020,30.5,3
1027,Mercedes-Benz GLA 200 d Sport,25000,0,4,2017,25.59,689
1028,Maruti Suzuki Ertiga VXI,43162,1,6,2021,9.36,579
1029,Honda Accord 2.4 Elegance MT,82000,1,8,2010,3.9,128
1030,MG Hector Plus Sharp 1.5 Petrol Turbo CVT 6-STR,24000,1,4,2021,19.4,432
1031,Tata Indigo eCS LS CR4 BS-IV,175000,0,11,2014,2,809
1032,Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,21415,1,2,2014,4.71,283
1033,Maruti Suzuki Celerio ZXi AMT [2019-2020],48549,1,8,2016,4.45,540
1034,BMW 5 Series 520d Luxury Line [2017-2019],69000,0,4,2015,21.49,53
1035,Datsun redi-GO T(O) 1.0,1391,1,8,2019,3.45,89
1036,Maruti Suzuki Wagon R 1.0 LXI,42000,1,8,2014,3.25,639
1037,Renault Kwid RXT 1.0 AMT,8097,1,9,2022,5.25,753
1038,Maruti Suzuki Swift LXi,31511,1,4,2014,4.08,616
1039,Skoda Rapid Ambition 1.6 MPI AT Plus,65000,1,8,2013,3.51,775
1040,Mercedes-Benz E-Class E 220 d Avantgarde,88508,0,6,2018,44.5,679
1041,Mahindra Thar LX Convertible Diesel MT,36804,0,7,2021,12.99,470
1042,Hyundai Creta SX 1.6 CRDi (O),40000,0,6,2018,14.9,229
1043,Skoda Rapid Ambition 1.6 TDI CR MT,117048,0,6,2016,7.45,778
1044,Maruti Suzuki Alto 800 LXi (O),28200,1,0,2021,3.5,491
1045,Maruti Suzuki Swift VXi,57742,1,2,2014,4.99,620
1046,Audi Q3 30 TDI Premium FWD,94520,0,0,2017,22.5,28
1047,Mahindra XUV500 W8 [2015-2017],88066,0,4,2015,6.85,487
1048,Volkswagen Polo Highline1.2L (D),78140,0,0,2014,3.8,916
1049,Tata Nexon XZA Plus Petrol,29873,1,13,2018,8.75,826
1050,Hyundai Elite i20 Asta 1.4 (O) CRDi,56415,0,6,2019,8.8,245
1051,Honda BR-V S Petrol,38258,1,4,2018,9.42,146
1052,Volvo S60 Kinetic D4,118271,0,6,2016,15.95,939
1053,Mahindra Bolero Power Plus ZLX,29726,0,4,2019,8.32,449
