,car_name,s_driven,fuel_type,city,year_of_manufacture,car_price_in_rupees,car_name2
103,Maruti Suzuki Wagon R LXi 1.0 CNG,17778,3,4,2020,5.99,652
104,Maruti Suzuki Baleno Delta 1.2,33269,1,7,2018,5.8,512
105,MG Hector Sharp 1.5 DCT Petrol [2019-2020],15222,1,2,2021,19.25,434
106,Honda City V Diesel,87139,0,6,2017,9.25,170
107,Maruti Suzuki Swift VXi ABS,69551,1,4,2013,3.4,621
108,Hyundai Verna Fluidic 1.6 CRDi SX,72500,0,13,2013,4.85,321
109,Maruti Suzuki Swift ZXi,28899,1,4,2018,6.33,627
110,Maruti Suzuki Wagon R 1.0 VXI,13595,1,7,2017,3.96,646
111,Ford Endeavour Titanium 3.2 4x4 AT,83000,0,8,2016,24.75,115
112,Hyundai Elite i20 Magna Executive 1.2,19418,1,2,2019,7.75,252
113,Volvo V40 D3 Kinetic,50965,0,7,2015,12,941
114,Ford EcoSport Ambiente 1.5L TDCi,74000,0,13,2014,4.91,97
115,Hyundai Xcent SX CRDi,21707,0,7,2017,4.25,336
116,Mahindra XUV500 W8,83555,0,6,2013,7.4,486
117,Hyundai Verna 1.6 VTVT SX,37000,1,8,2015,5.85,317
118,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],43000,1,9,2014,3.85,275
119,Maruti Suzuki Baleno Zeta 1.2 AT,21769,1,8,2017,6.9,521
120,BMW 5 Series 530i Sport Line,32000,1,8,2018,42.5,57
121,Maruti Suzuki Ciaz Zeta Hybrid  1.5 [2018-2020],14886,1,8,2018,7.99,564
122,MG Hector Plus Sharp 1.5 DCT Petrol,6602,1,0,2020,18.9,431
123,Maruti Suzuki Wagon R 1.0 LXI CNG,58000,3,13,2014,3.85,641
124,Maruti Suzuki Wagon R 1.0 LXI CNG,63339,3,12,2014,4.07,641
125,Maruti Suzuki Ciaz Delta 1.5,4500,1,5,2020,8.3,551
126,Renault Triber RXZ EASY-R AMT,23600,1,3,2020,7.6,757
